job_title,company_name,location,salary,avg_salary
Mid-Level Business Process Specialist - Electronic Medical Records,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Senior Data Scientist - Predictive Enterprise Group,Neudesic LLC,"Tempe, AZ 85281",,0.0
Industrial Engineer - Data Scientist,ViaSat,"Tempe, AZ","$92,000 - $136,000 a year (Indeed est.)",114000.0
Medical Laboratory Scientist I - Nights,Sonora Quest Laboratories,"Sun City West, AZ 85375",,0.0
User Experience Research Analyst,Paypal,"Scottsdale, AZ",,0.0
Senior Operations Analyst â€“ Data Scientist,Pearson,"Chandler, AZ 85226",,0.0
"Field Geologist - Tempe, AZ",ATC Group Services,"Tempe, AZ 85284",,0.0
Senior Data Scientist - Predictive Enterprise Group,Neudesic LLC,"Tempe, AZ 85281",,0.0
Planning and Research Analyst Sr,Maricopa County Community College District,"Glendale, AZ","$59,694 - $77,603 a year",68648.5
"Scientist, Biomarker and Drug Intelligence",Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Senior Operations Analyst â€“ Data Scientist,Pearson,"Chandler, AZ 85226",,0.0
Business Intelligence Analyst,Sandhills Publishing,"Scottsdale, AZ 85260 (North Scottsdale area)",,0.0
Associate,Exponent,"Phoenix, AZ 85027",,0.0
Programming and Research Analyst,Nexstar Broadcasting,"Phoenix, AZ",,0.0
Human Factors Scientist,Exponent,"Phoenix, AZ 85027",,0.0
Statistician - Medical Device Mfg,W. L. Gore & Associates,"Phoenix, AZ",,0.0
Associate,Exponent,"Phoenix, AZ 85027",,0.0
Junior Research Analyst,Marcus & Millichap,"Phoenix, AZ 85016 (Camelback East area)",,0.0
Engagement Manager (PHX),"World Wide Technology, Inc.","Phoenix, AZ",,0.0
Director of Bioinformatics,TGen,"Phoenix, AZ",,0.0
"Environmental Health & Safety Scientist (Phoenix, Tucson, Albuquerque, Salt Lake City)",Golder Associates,"Tempe, AZ",,0.0
Business Intelligence Analyst,Sandhills Publishing,"Scottsdale, AZ 85260 (North Scottsdale area)",,0.0
Planning Research Analyst (Open until filled),Maricopa County Community College District,"Phoenix, AZ","$52,139 - $67,781 a year",59960.0
NDT Quality Test Specialist 4,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Territory Sales Manager - Southeast Phoenix and Tucson,JUUL Labs,"Phoenix, AZ",,0.0
Accounting Associate,Exponent,"Phoenix, AZ 85027",,0.0
Medical Laboratory Scientist I - Evenings,Sonora Quest Laboratories,"Gilbert, AZ 85234",,0.0
Machine Learning Engineer - Operations - AZ,thredUP Inc,"Phoenix, AZ",,0.0
Planning and Research Analyst (South Mountain Community College),Maricopa County Community College District,"Phoenix, AZ","$52,139 - $67,781 a year",59960.0
Research Analyst,CBRE,"Phoenix, AZ 85034 (Central City area)",,0.0
Entry-Level Architect,Burns & McDonnell,"Phoenix, AZ",,0.0
Human Capital Senior Consultant - Data Scientist,Deloitte,"Phoenix, AZ 85012 (Alhambra area)",,0.0
Early Career Engineering Technical Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Manager of Trauma Services,Phoenix Children's Hospital,"Phoenix, AZ 85002 (Central City area)",,0.0
OPERATIONS RESEARCH,US Department of the Navy,"Phoenix, AZ","$33,394 - $164,200 a year",98797.0
Histology Technologist I-II,Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Data & Analytics Consultant (PHX),Systems Evolution Inc.,"Scottsdale, AZ",,0.0
Development/Research Associate I-III,Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
"Director – Mobile App, Commerce Product Development",American Express,"Phoenix, AZ",,0.0
Sr Operations Manager (Phoenix) - JUMP Bikes OR Scooters,Uber,"Tempe, AZ 85281",,0.0
Machine Learning Big Data Engineer,Emailage,"Chandler, AZ",,0.0
Clinical Research Scientist,Insys Therapeutics Inc,"Chandler, AZ",,0.0
Director of Business Process Improvement,Verra Mobility,"Mesa, AZ",,0.0
Research Scientist I - Commercial Oncology,Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Python Instructor (Part-Time Contractor),Galvanize,"Phoenix, AZ 85004 (Central City area)",,0.0
Integration Manager - Materials Management,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Lead Technical Architect,American Express,"Phoenix, AZ",,0.0
